Sl No,ASIN,Product Title,Category
Source,AMZ - Inv report,AMZ - Inv report,Category
1,B00B4BBF94,Havells Nicola 1200mm Ceiling Fan (Gold Mist and Copper),HAVELLS FAN
,B00J1YQWC6,Havells 6A Four-Way Extension Board (White) -1.5 metre Heavy duty wire,HAVELLS EWA
,B071DQ3TS5,Havells Pathfinder 30 3-Watt Rechargeable LED Torch (Yellow),CONSUMER LIGHTING
,B01LWUEDJI,Havells Prolife Digi 1230-Watt Air Fryer (Black),HAVELLS SDA
,B01L56DSKG,Havells Ranger 10 1-Watt Rechargeable LED Torch (Black),CONSUMER LIGHTING
,B07LDN9Q2P,Havells D'zire 1000-Watt Dry Iron (Mint),HAVELLS SDA
,B00B4BBDNW,Havells Leganza 1200mm Ceiling Fan (Bronze and Gold),HAVELLS FAN
,B07TK4BD54,Havells Insta Cook RT 1400 watts Induction Cooktop,HAVELLS SDA
,B00NLBJRGS,Havells Lifeline Cable WHFFDNKA11X5 1.50 sq mm Wire (Black),HAVELLS WIRE
,B08GM68XW4,Havells Carlo 3 Litre Instant Water Heater (White Blue),HAVELLS WATER HEATER
,B00KIDSTTI,Havells Ventil Air DX 22-Watt 150mm Exhaust Fan (White),HAVELLS FAN
,B083GKDRKR,"Havells Aqua Plus 1.2 litre Kettle/Tea Kettle/Coffee Maker/Milk Boiler/Water Boiler/ 304 Stainless Steel (Black, 1500 Watt)",HAVELLS SDA
,B00B4BC5MU,Havells Swing 400mm Pedestal Fan (White),HAVELLS FAN
,B00B4BCAHK,Havells Swing Platina 400mm Wall Fan (White),HAVELLS FAN
,B07MHJ2YNP,Havells Fabio 1250-Watt Steam Iron (Blue),HAVELLS SDA
,B00NLBK3BG,Havells Lifeline Cable WHFFDNRA14X0 4 sq mm Wire (Red),HAVELLS WIRE
,B06WRT58X5,Havells Maxx Grind 750 Watt Mixer Grinder with 3 Stainless Steel Jar and Overload indicator (Blue),HAVELLS SDA
,B0787C2PNG,Havells ASPRO 500 Watt Mixer Grinder with 3 Stainless Steel Jar (White & Light Blue) with 5 year motor warranty,HAVELLS SDA
,B00NLF14CO,Havells Era 1000-Watt Dry Iron (Grey/White),HAVELLS SDA
,B079ZX9XR7,Havells Stealth 1250mm Ceiling Fan (Indigo Blue),HAVELLS FAN
,B00B4BCAVG,Havells Swing 400mm Wall Fan (Off White),HAVELLS FAN
,B077TQNC4D,Havells Beemer 50 5-Watt LED Torch (Green),CONSUMER LIGHTING
,B072MFH5ZB,Havells Glanz 1.5-Watt Rechargeable Solar Light (Red),CONSUMER LIGHTING
,B0152VU0NS,Havells Monza EC 25-Litre Storage Water Heater with Flexi Pipe (White),HAVELLS WATER HEATER
,B00J5DYEIW,Havells Quatro 25-Litre Storage Water Heater (Ivory Red),HAVELLS WATER HEATER
,B01K7OIAVY,"Havells Sprint Mixer Grinder, 500W, 3 Jars (Grey/ Green)",HAVELLS SDA
,B00B4BB9R2,Havells Festiva 1200mm Ceiling Fan (Ocean Blue),HAVELLS FAN
,B073S5TMH6,Havells Sameera 400mm Fan (White),HAVELLS FAN
,B00J5DYCUM,Havells Ventilair DSP 300mm Sweep Area Exhaust Fan 220-240 Volts (Pista Green),HAVELLS FAN
,B0152VTSLI,Havells Monza EC 10 10-Litre Storage Water Heater with Flexi Pipe (Ivory),HAVELLS WATER HEATER
,B00B4BBEKE,Havells Nicola 1200mm 72-Watt Ceiling Fan (Bronze Copper),HAVELLS FAN
,B073S5TMM1,Havells Nicola 600mm Fan (Bronze Copper),HAVELLS FAN
,B00B4BC84U,Havells Ventilair 150mm Exhaust Fan with Round Head (White),HAVELLS FAN
,B078JDNZJ8,Havells Instanio 3-Litre Instant Geyser (White/Blue),HAVELLS WATER HEATER
,B01LYU3BZF,Havells Ambrose 1200mm Ceiling Fan (Gold Mist Wood),HAVELLS FAN
,B00J5ENA7C,Havells Swing FHWSWSTIVR12300mm Wall Fan (Off White),HAVELLS FAN
,B00B4BBA4Y,Havells Festiva 1200mm Ceiling Fan (Pearl White and Silver),HAVELLS FAN
,B07BH47TFJ,Havells DHMGBSPF016 PVC Plastic 16A MCB SP B Curve (White),HAVELLS BCP
,B00B4BBXJG,Havells 1200 mm Fan SS-390 68-Watt Mettalic Ceiling Fan(Pearl white silver),HAVELLS FAN
,B07TL45M93,Havells Active Plus UV Water Purifier,WATER PURIFIERS
,B00KIDSUK6,Havells FHVVEDXOWH10 Ventil Air Dx 35-Watt 250mm Fan (Off White),HAVELLS FAN
,B0152VTV92,Havells Monza EC 15-Litre Storage Water Heater with Flexi Pipe (White),HAVELLS WATER HEATER
,B00B4BBI9G,Havells Pacer 1200mm Ceiling Fan (Brown),HAVELLS FAN
,B00B4BBGN4,Havells Orion 1200mm Ceiling Fan (Antique Brass),HAVELLS FAN
,B00BYRIPDC,Havells Jio 1000-Watt Dry Iron (Blue),HAVELLS SDA
,B06XB6GT3J,Havells Citrus Press 0.5L Juicer,HAVELLS SDA
,B00B4BBDU0,Havells Leganza 1200mm Ceiling Fan (Off-white and Silver),HAVELLS FAN
,B08JZ25QLD,Havells Capture 1.2 Litre Multi Cook Kettle with Steamer 650 Watt (Green),HAVELLS SDA
,B08B55S3WM,"Havells Digitouch Alkaline 100% RO+UV, 6 Litre Water Purifier (Champagne & Black)",WATER PURIFIERS
,B074DHDXLR,Havells Enticer 1200mm Ceiling Fan (Pearl White/Chrome),HAVELLS FAN
,B07M6L89ZM,Havells Plush 1600-Watt Steam Iron (Black),HAVELLS SDA
,B00B4BBGT8,Havells Orion 1200mm Ceiling Fan (Antique Copper),HAVELLS FAN
,B00B4BC3NG,Havells Ciera 300mm Cabin Fan (Ivory),HAVELLS FAN
,B07BH44M5K,Havells DHMNCSPA016 PVC Plastic 16A SP C Mini MCB (White),HAVELLS BCP
,B075H3KWDL,Havells Quatro 10 Litre Vertical Storage Water Heater (White Green),HAVELLS WATER HEATER
,B07L8N16J9,Havells Hi-Flow MP1-1.0HP 1PH Centrifugal Pump (Grey),HAVELLS PUMP
,B079ZW2H1L,havells 1250 mm stealth air decorative ceiling fan pearl white (dust resistant),HAVELLS FAN
,B07LDPLSZC,Havells Glydo 1000 Watt Dry Iron (Charcoal Blue),HAVELLS SDA
,B00B4BC8YA,Havells Ventilair DB 230mm 45-Watt Exhaust Fan,HAVELLS FAN
,B076K942S2,Havells Rigo 500 Watt Juicer Mixer Grinder with 3 Jar (White & Light Blue),HAVELLS SDA
,B01FORF1YI,Havells Enticer 48' (Pearl White Gold),HAVELLS FAN
,B00PFG3NIA,Havells V3 Yurbo 450mm Pedestal Fan (Black),HAVELLS FAN
,B01MZHZKBK,"Havells Freddo I Desert Air Cooler -70 Litres (White, Brown)",HAVELLS AIR COOLER
,B00RTBBXAE,Havells Genie 500-Watt Juicer Mixer Grinder (Green),HAVELLS SDA
,B00KIDSU8S,Havells FHVVEDXOWH08 Ventil Air Dx 200mm Sweep size Fan (Off White),HAVELLS FAN
,B078VC1NXS,"Havells Celia Desert Air Cooler - 55 Litres (White, Grey)",HAVELLS AIR COOLER
,B00JRU5I1A,Havells D'zire High Speed 300mm Wall Fan (Grey),HAVELLS FAN
,B073S5BXBX,Havells Artemis 1200mm Fan (Ivory),HAVELLS FAN
,B08DL566XG,Reo (a Havells Brand) Tejas 1200 mm Ceiling Fan - White,REO FAN
,B00NLBJKXS,Havells Lifeline Cable WHFFDNGA11X0 1 sq mm Wire (Green),HAVELLS WIRE
,B00B4BC6YM,Havells Swing LX 400mm Table Fan (White),HAVELLS FAN
,B072K1V1DY,Havells Estelo Tea Maker 1.5L (Grey),HAVELLS SDA
,B00K0C4IFQ,"Havells Crabtree Athena 1M Fan Regulator, White",CRABTREE EWA
,B07CRH6CDN,(Renewed) Havells FHVVEDXOWH08 200mm Exhaust Fan (White),HAVELLS FAN
,B071GVJ6XG,"Havells Enticer Art 1200mm Ceiling Fan (Pearl White, Pack of 2)",HAVELLS FAN
,B00B4BBX6O,Havells SS-390 1200mm 68-Watt Metallic Ceiling Fan (Pearl Ivory),HAVELLS FAN
,B01K7OIAS2,Havells Max Cook DLX 1000-Watt Rice Cooker (Light Green),HAVELLS SDA
,B00PFD186M,Havells Nicola 1200mm Decorative Ceiling Fan (Pearl White Silver),HAVELLS FAN
,B00B4BBK80,Havells Pacer 1200mm Ceiling Fan (White),HAVELLS FAN
,B00J5DY7RU,Havells Swing Lx 400mm Table Fan (Cherry),HAVELLS FAN
,B00B4BBEEA,Havells Nicola 900mm 68-Watt Ceiling Fan (Bronze and Copper),HAVELLS FAN
,B00B4BC2ZU,Havells Yorker 1320mm Ceiling Fan (Antique Brass),HAVELLS FAN
,B07ML45D4J,Havells GHCRCCGW070 1.8 Litre Electric Cooker (White),HAVELLS SDA
,B00MB24T9S,Havells 15-Litre Storage Water Heater (Ivory and Red),HAVELLS WATER HEATER
,B00PFG3308,Havells Spartz 1200mm Decorative Ceiling Fan (Multicolour),HAVELLS FAN
,B00BYRK1R0,Havells Donato Espresso 900-Watt Stainless Steel Coffee Maker (Black),HAVELLS SDA
,B00JEAVS5I,Havells Velocity Neo HS 400mm Table Fan (White),HAVELLS FAN
,B073S62RFC,Havells Artemis 1200mm Fan (Elegant White),HAVELLS FAN
,B00B4BC4L2,Havells Sprint LED 400mm Pedestal Fan (Blue),HAVELLS FAN
,B00B4BBFVW,Havells Nicola 1200mm Ceiling Fan (Pearl Ivory),HAVELLS FAN
,B07BH468SW,Havells DHMGIDPX040 PVC Plastic 40A DP Switch Disconnector Euro 2 (White),HAVELLS BCP
,B00B4BC9IA,Havells Airbol 450mm High Speed Wall Fan (White),HAVELLS FAN
,B07K4SCRVC,Havells Max Alkaline 7-Liter RO+UV Water Purifier (Blue/White),WATER PURIFIERS
